dates,trips,Rain,Temperature
2013-06-01,577703,10.1,72.7
2013-07-01,843416,2.84,79.8
2013-08-01,1001958,2.85,74.6
2013-09-01,1034359,2.95,67.9
2013-10-01,1037712,0.36,60.2
2013-11-01,675774,3.15,45.3
2013-12-01,443966,4.85,38.5
2014-01-01,300400,2.79,28.6
2014-02-01,224736,5.48,31.6
2014-03-01,439117,3.67,37.7
2014-04-01,670780,7.85,52.3
2014-05-01,866117,4.37,64.0
2014-06-01,936880,4.26,72.5
2014-07-01,968842,5.59,76.1
2014-08-01,963489,2.25,74.5
2014-09-01,953887,1.21,69.7
2014-10-01,828711,5.77,59.6
2014-11-01,529188,4.51,45.3
2014-12-01,399069,6.04,40.5
2015-01-01,285552,5.23,29.9
2015-02-01,196930,2.04,23.9
2015-03-01,341826,4.72,38.1
2015-04-01,652390,2.08,54.3
2015-05-01,961986,1.86,68.5
2015-06-01,941219,4.79,71.2
2015-07-01,1085676,3.98,78.8
2015-08-01,1179044,2.35,79.0
2015-09-01,1289699,3.28,74.5
2015-10-01,1212277,3.91,58.0
2015-11-01,987245,2.01,52.8
2015-12-01,804125,4.72,50.8
2016-01-01,509478,4.41,34.5
2016-02-01,560874,4.4,37.7
2016-03-01,919921,1.17,48.9
2016-04-01,1013149,1.61,53.3
2016-05-01,1212280,3.75,62.8
2016-06-01,1460318,2.6,72.3
2016-07-01,1380110,7.02,78.7
2016-08-01,1557663,1.97,79.2
2016-09-01,1648856,2.79,71.8
2016-10-01,1573872,4.15,58.8
2016-11-01,1196942,5.41,49.8
2016-12-01,812192,2.89,38.3
2017-01-01,726676,4.83,38.0
2017-02-01,791647,2.48,41.6
2017-03-01,727665,5.25,39.2
2017-04-01,1315404,3.84,57.2
2017-05-01,1523268,6.38,61.1
2017-06-01,1731594,4.76,72.0
2017-07-01,1735599,4.19,76.8
2017-08-01,1816498,3.34,74.0
2017-09-01,1878098,2.0,70.5
2017-10-01,1897592,4.18,64.1
2017-11-01,1330649,1.58,46.6
2017-12-01,889967,2.21,35.0
2018-01-01,718994,2.18,31.7
2018-02-01,843114,5.83,42.0
2018-03-01,976672,5.17,40.1
2018-04-01,1307543,5.78,49.5
2018-05-01,1824710,3.53,66.9
2018-06-01,1953103,3.11,71.7
2018-07-01,1913625,7.45,77.6
2018-08-01,1977177,8.59,78.1
2018-09-01,1877884,6.19,70.7
2018-10-01,1878657,3.59,57.7
2018-11-01,1260355,7.62,44.4
2018-12-01,1016505,6.51,40.1
2019-01-01,967287,3.58,32.5
2019-02-01,943744,3.14,36.2
2019-03-01,1327960,3.87,41.7
2019-04-01,1766094,4.55,55.5
2019-05-01,1924563,6.82,62.2
2019-06-01,2125370,5.46,71.7
2019-07-01,2181064,5.77,79.6
2019-08-01,2344224,3.7,75.5
2019-09-01,2444900,0.95,70.4
2019-10-01,2092573,6.15,59.9
2019-11-01,1478708,1.95,43.9
2019-12-01,955210,7.09,38.3
2020-01-01,1240596,1.93,39.1
2020-02-01,1146830,2.54,40.1
2020-03-01,1068457,3.78,48.0
2020-04-01,682762,4.49,50.4
2020-05-01,1487890,1.65,60.3
