"pm10","month"
33,"aug_20"
28,"aug_20"
16,"aug_20"
20,"aug_20"
22,"aug_20"
25,"aug_20"
28,"aug_20"
26,"aug_20"
34,"aug_20"
42,"aug_20"
28,"aug_20"
33,"aug_20"
26,"aug_20"
27,"aug_20"
21,"aug_20"
31,"aug_20"
25,"aug_20"
27,"aug_20"
22,"aug_20"
24,"aug_20"
28,"aug_20"
35,"aug_20"
27,"aug_20"
25,"aug_20"
25,"aug_20"
10,"aug_20"
13,"aug_20"
15,"aug_20"
32,"aug_20"
27,"aug_20"
19,"aug_20"
21,"aug_20"
23,"aug_20"
25,"aug_20"
29,"aug_20"
29,"aug_20"
33,"aug_20"
42,"aug_20"
29,"aug_20"
32,"aug_20"
27,"aug_20"
24,"aug_20"
23,"aug_20"
26,"aug_20"
26,"aug_20"
29,"aug_20"
23,"aug_20"
22,"aug_20"
23,"aug_20"
31,"aug_20"
24,"aug_20"
23,"aug_20"
22,"aug_20"
10,"aug_20"
12,"aug_20"
13,"aug_20"
28,"aug_20"
21,"aug_20"
19,"aug_20"
22,"aug_20"
24,"aug_20"
24,"aug_20"
28,"aug_20"
29,"aug_20"
32,"aug_20"
37,"aug_20"
27,"aug_20"
27,"aug_20"
25,"aug_20"
22,"aug_20"
19,"aug_20"
22,"aug_20"
22,"aug_20"
27,"aug_20"
17,"aug_20"
20,"aug_20"
22,"aug_20"
28,"aug_20"
25,"aug_20"
19,"aug_20"
21,"aug_20"
9,"aug_20"
11,"aug_20"
13,"aug_20"
22,"aug_20"
22,"aug_20"
12,"aug_20"
14,"aug_20"
16,"aug_20"
18,"aug_20"
21,"aug_20"
18,"aug_20"
26,"aug_20"
34,"aug_20"
24,"aug_20"
24,"aug_20"
21,"aug_20"
15,"aug_20"
19,"aug_20"
20,"aug_20"
17,"aug_20"
22,"aug_20"
18,"aug_20"
18,"aug_20"
18,"aug_20"
20,"aug_20"
16,"aug_20"
15,"aug_20"
16,"aug_20"
6,"aug_20"
9,"aug_20"
9,"aug_20"
NA,"aug_20"
NA,"aug_20"
14,"aug_20"
14,"aug_20"
17,"aug_20"
19,"aug_20"
24,"aug_20"
23,"aug_20"
28,"aug_20"
33,"aug_20"
22,"aug_20"
25,"aug_20"
23,"aug_20"
18,"aug_20"
17,"aug_20"
19,"aug_20"
19,"aug_20"
22,"aug_20"
17,"aug_20"
17,"aug_20"
17,"aug_20"
25,"aug_20"
18,"aug_20"
24,"aug_20"
13,"aug_20"
8,"aug_20"
10,"aug_20"
10,"aug_20"
24,"aug_20"
20,"aug_20"
12,"aug_20"
12,"aug_20"
15,"aug_20"
16,"aug_20"
16,"aug_20"
22,"aug_20"
24,"aug_20"
30,"aug_20"
21,"aug_20"
24,"aug_20"
22,"aug_20"
16,"aug_20"
16,"aug_20"
15,"aug_20"
16,"aug_20"
17,"aug_20"
15,"aug_20"
14,"aug_20"
16,"aug_20"
16,"aug_20"
13,"aug_20"
13,"aug_20"
14,"aug_20"
NA,"aug_20"
NA,"aug_20"
5,"aug_20"
